geneSymbol	diseaseName
ATP7B	Hepatolenticular Degeneration
ATP7B	Hepatolenticular Degeneration
MC4R	Obesity
MC4R	Obesity
IRS1	Diabetes Mellitus, Type 2
IRS1	Diabetes Mellitus, Type 2
CFTR	Cystic Fibrosis
MECP2	Rett Syndrome
CFTR	Cystic Fibrosis
MECP2	Rett Syndrome
APP	Alzheimer Disease
APP	Alzheimer Disease
PRNP	Creutzfeldt-Jakob Syndrome
PRNP	Creutzfeldt-Jakob Syndrome
MEFV	Familial Mediterranean Fever
MEFV	Familial Mediterranean Fever
KIT	Gastrointestinal Stromal Tumors
KIT	Gastrointestinal Stromal Tumors
RET	Pheochromocytoma
RET	Pheochromocytoma
DMD	Muscular Dystrophy, Duchenne
DMD	Muscular Dystrophy, Duchenne
AVP	Diabetes Insipidus, Neurogenic
AVP	Diabetes Insipidus, Neurogenic
FMR1	Fragile X Syndrome
FMR1	Fragile X Syndrome
OTC	Ornithine Carbamoyltransferase Deficiency Disease
OTC	Ornithine Carbamoyltransferase Deficiency Disease
OTC	Ornithine Carbamoyltransferase Deficiency Disease
SCN5A	Brugada Syndrome
SCN5A	Brugada Syndrome
FBN1	Marfan Syndrome
FBN1	Marfan Syndrome
JAK2	Polycythemia Vera
JAK2	Polycythemia Vera
PKHD1	Polycystic Kidney, Autosomal Recessive
PKHD1	Polycystic Kidney, Autosomal Recessive
RYR1	Malignant Hyperthermia
RYR1	Malignant Hyperthermia
ASPA	Canavan Disease
ASPA	Canavan Disease
PTPN11	Noonan Syndrome
PTPN11	Noonan Syndrome
ATM	Ataxia Telangiectasia
ATM	Ataxia Telangiectasia
MEN1	Multiple Endocrine Neoplasia Type 1
MEN1	Multiple Endocrine Neoplasia Type 1
ARSB	Mucopolysaccharidosis VI
ARSB	Mucopolysaccharidosis VI
KRT1	Hyperkeratosis, Epidermolytic
KRT1	Hyperkeratosis, Epidermolytic
PPARG	Obesity
PPARG	Obesity
STK11	Peutz-Jeghers Syndrome
STK11	Peutz-Jeghers Syndrome
LYST	Chediak-Higashi Syndrome
LYST	Chediak-Higashi Syndrome
AR	Androgen-Insensitivity Syndrome
AR	Androgen-Insensitivity Syndrome
GLA	Fabry Disease
GLA	Fabry Disease
NF1	Neurofibromatosis 1
NF1	Neurofibromatosis 1
