id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
A1BG	69861.6561147371	40479.3903761315	99243.9218533428	2.4517148339	1.2937911847	5.37775074768379e-06	9.73423144683549e-05
A1CF	2196.046449797	1847.6219237727	2544.4709758213	1.3771599823	0.4616961646	0.0180006665	0.078504145
A2BP1	0.0577055669	0.0951242339	0.0202868999	0.2132674198	-2.2292645087	0.4867519298	0.7078358371
A2LD1	279.4828011343	230.2027195719	328.7628826966	1.4281450858	0.5141425508	0.1128625822	0.2890667141
A2ML1	0.4029576523	0.3172008638	0.4887144409	1.5407096784	0.6235950351	0.6847887189	0.8443820537
A2M	130359.923895009	107016.506821551	153703.340968466	1.4362582515	0.5223151814	0.0719696752	0.213855273
A4GALT	160.5172183771	230.2098210859	90.8246156683	0.3945297175	-1.3417941214	0.0012509062	0.009840598
A4GNT	3.6782343954	4.3404086778	3.0160601131	0.694879293	-0.5251657049	0.6512619178	0.8246365602
AAA1	1.6946784792	3.3701280728	0.0192288855	0.0057056839	-7.4533844587	0.0004713837	0.0044753719
AAAS	779.1184121423	858.1631902477	700.0736340368	0.8157814761	-0.2937453467	0.1867077438	0.403004077
AACSL	4.8854468874	9.7125044432	0.0583893316	0.0060117688	-7.3779947463	0.0074225414	0.0400454342
AACS	333.3406386975	463.8964910939	202.784786301	0.437133693	-1.1938535139	6.01748121537307e-05	0.0007877147
AADACL2	0.0090824609	0.0181649217	0	0	-Inf	1	1
AADACL3	0	0	0	NA	NA	NA	NA
AADACL4	0.098729347	0.1771717942	0.0202868999	0.1145041174	-3.126528619	0.2625125011	0.4923697949
AADAC	10919.1837549613	9014.2502547653	12824.1172551573	1.4226493488	0.5085801137	0.0127758869	0.0603440086
AADAT	867.288933975	289.9063656518	1444.6715022983	4.9832348422	2.3170825647	2.613255809555e-24	1.01227077038922e-21
AAGAB	639.4111969035	734.1169830154	544.7054107915	0.7419872083	-0.4305337796	0.0675937946	0.2044918172
AAK1	560.975883023	729.9598835636	391.9918824824	0.5370046921	-0.8969934011	0.0002169084	0.0023491812
AAMP	2786.1136874282	2651.1781915764	2921.04918328	1.1017928529	0.1398530096	0.4694689944	0.6921986331
AANAT	0.0809973338	0.0594111398	0.1025835277	1.7266715965	0.7879937162	0.8343159387	0.9373995131
AARS2	475.8164373268	596.8943508114	354.7385238423	0.5943070551	-0.7507195874	0.0035717706	0.0225924409
AARSD1	719.0663315674	813.0811314318	625.051531703	0.7687443572	-0.3794241794	0.1075946592	0.2793426016
AARS	4377.2467698694	4654.8620584294	4099.6314813095	0.8807202941	-0.1832441851	0.3329060076	0.5680189361
AASDHPPT	878.2272672181	805.8411937984	950.6133406379	1.1796534453	0.2383630917	0.2850933045	0.5186630773
AASDH	198.5496298818	183.8503717643	213.2488879992	1.1599045787	0.2140061247	0.5586183832	0.76144
AASS	2172.1510534018	1718.6901691917	2625.6119376119	1.5276819433	0.6113442118	0.0041757595	0.0254487443
AATF	1117.9885764689	1310.3720597692	925.6050931685	0.7063681542	-0.5015077927	0.0173093852	0.0761927666
AATK	60.2678141783	91.0314197524	29.5042086041	0.3241101664	-1.6254438203	0.0076580153	0.0410189606
ABAT	15982.9900173277	8647.6621744148	23318.3178602406	2.6964880669	1.4310816493	6.60927570587241e-11	3.54594049505088e-09
ABCA10	54.4528303491	38.9285030066	69.9771576915	1.7975815222	0.8460571999	0.1495022482	0.3477731855
ABCA11P	40.9313960144	45.6756542958	36.1871377329	0.7922631496	-0.3359483949	0.6271989204	0.8063320849
ABCA12	11.2994244639	21.946356852	0.6524920757	0.0297312251	-5.0718772778	0.1229026018	0.3059402525
ABCA13	13.9363551174	14.2632437066	13.6094665281	0.9541634994	-0.0676915964	0.953913328	1
ABCA17P	2.9067971997	4.5969976638	1.2165967356	0.2646502836	-1.9178408947	0.0971424266	0.2599412157
ABCA1	2706.4977808585	1786.637374951	3626.358186766	2.0297113659	1.0212745843	3.10728393957469e-07	7.81582796645229e-06
ABCA2	1772.984203634	2145.9847507836	1399.9836564845	0.6523735343	-0.6162298393	0.0304534635	0.1158787192
ABCA3	191.7252455878	301.9187418477	81.5317493279	0.2700453401	-1.8887264415	2.29188876373219e-06	4.60469933360634e-05
ABCA4	49.0791169481	82.167068896	15.9911650002	0.1946176883	-2.3612852562	0.0370524385	0.1327923432
ABCA5	955.1530796275	946.7103950412	963.5957642137	1.0178358337	0.0255048885	0.8495668281	0.9461995587
ABCA6	3044.6995989314	2309.9441517212	3779.4550461416	1.6361672828	0.7103202579	0.0002454921	0.0025996125
ABCA7	246.005565198	356.4968719226	135.5142584733	0.3801274826	-1.3954447615	0.000428886	0.0041471116
ABCA8	1147.7320779526	551.0868931472	1744.3772627579	3.1653397757	1.6623603706	6.5603924483392e-15	7.30239545628929e-13
ABCA9	205.1326425754	135.6198494295	274.6454357213	2.0251123776	1.0180019683	0.0042550191	0.0258504425
ABCB10	723.4933279523	788.9513964984	658.0352594063	0.8340631151	-0.2617715357	0.2313631337	0.4568761392
ABCB11	1331.1836621743	1006.2005710916	1656.166753257	1.645960856	0.7189300262	0.0015249474	0.0114477443
ABCB1	1882.0770934315	1941.6303335709	1822.523853292	0.9386564588	-0.0913308559	0.6909449538	0.8484797023
ABCB4	5152.4141534414	4631.9690829121	5672.8592239707	1.2247187152	0.2924504392	0.159610496	0.362875465
ABCB5	67.1336122847	134.0407658029	0.2264587666	0.0016894768	-9.2092077291	0.0293971225	0.1128186779
ABCB6	1612.1929465652	1850.2098854399	1374.1760076906	0.74271358	-0.4291221377	0.0415079987	0.1439131439
ABCB7	566.8809746801	539.4788992439	594.2830501164	1.1015872001	0.1395837012	0.5534716426	0.7583673068
ABCB8	1272.5406447198	1503.7798403794	1041.3014490602	0.6924560505	-0.5302055873	0.0113071478	0.0547632857
ABCB9	62.8914823637	89.5299190091	36.2530457183	0.4049266002	-1.3042676762	0.0280588672	0.1090815215
ABCC10	225.6487146117	322.7668643273	128.5305648961	0.3982148699	-1.3283810005	0.000205021	0.0022396202
ABCC11	177.8369415566	234.756072982	120.9178101313	0.5150785179	-0.9571357234	0.1544054861	0.3555070678
ABCC12	0.6496683878	1.1763546683	0.1229821073	0.1045450923	-3.2578027567	0.048076572	0.1610145335
ABCC13	0.943704749	1.068493899	0.8189155991	0.7664204726	-0.383791996	0.8116767264	0.9224595023
ABCC1	304.4584905433	414.4375702703	194.4794108163	0.4692610535	-1.0915373667	0.0003716143	0.0036777851
ABCC2	4053.657024106	3846.2892145982	4261.0248336137	1.1078274659	0.1477332121	0.4324697749	0.6595676017
ABCC3	4615.6300110255	4638.9592448874	4592.3007771636	0.9899420397	-0.0145840358	0.9074731641	0.9780712434
ABCC4	231.6162174248	365.0673530376	98.165081812	0.2688958106	-1.8948808168	6.70674726811043e-06	0.0001184105
ABCC5	294.4202407411	404.9953961353	183.8450853468	0.4539436426	-1.1394148979	0.0003607116	0.0035882191
ABCC6P1	546.1832817909	484.5123013955	607.8542621862	1.254569307	0.3271921727	0.1806791304	0.3941939136
ABCC6P2	252.5367298898	315.9645044318	189.1089553479	0.5985132909	-0.7405448102	0.0288516169	0.1112607273
ABCC6	5038.5348684878	4041.7807957273	6035.2889412484	1.493225201	0.5784317622	0.0028759066	0.0189845122
ABCC8	9.4944275898	18.2985034754	0.6903517043	0.0377272221	-4.728250314	0.0863045456	0.2410304887
ABCC9	1395.9712176226	788.9424565659	2002.9999786793	2.5388416633	1.3441704231	6.92690855379806e-11	3.68572430961431e-09
ABCD1	676.964842339	873.9871608174	479.9425238606	0.5491413895	-0.8647504418	0.0001870189	0.0020745596
ABCD2	6.5864482104	6.6518847037	6.5210117171	0.9803254277	-0.0286673508	0.999507978	1
ABCD3	3841.5583959899	2963.1741009683	4719.9426910114	1.592867152	0.6716259485	0.0007023949	0.0061752086
ABCD4	964.2927306709	755.9582880302	1172.6271733115	1.5511797303	0.6333658565	0.00289256	0.0190879391
ABCE1	1231.2562360153	1140.6295157074	1321.8829563233	1.1589064969	0.2127641713	0.3035544059	0.5384907249
ABCF1	2102.6750357395	2328.9102920056	1876.4397794735	0.805715783	-0.3116570784	0.1094412376	0.2827718637
ABCF2	808.1191386527	1011.1227089687	605.1155683367	0.5984590821	-0.7406754843	0.0008493616	0.0072182691
ABCF3	1387.5579733162	1464.3583398018	1310.7576068306	0.8951071409	-0.1598677171	0.444434794	0.6699240536
