"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"
"E2F1"	25	1	1	1	3	3.76
"EGR1"	18	1	1	1	3	2.33
"ESR1"	9	1	1	1	3	2.19
"JUN"	33	1	1	1	3	1.39
"NR1I2"	9	1	1	1	3	1.37
"MYC"	18	1	1	1	3	1.07
"JUND"	6	1	1	1	3	0.99
"STAT3"	10	1	1	1	3	0.81
"USF1"	15	1	1	1	3	0.73
"NR1H4"	7	1	1	1	3	0.63
"ETS1"	9	1	1	1	3	0.61
"IRF1"	5	1	1	1	3	0.61
"NR1I3"	8	1	1	1	3	0.6
"hsa-let-7b"	47	1	1	1	3	0
"hsa-mir-26a-5p"	16	1	1	1	3	0
"hsa-mir-29a"	21	1	1	1	3	0
"hsa-mir-29a-3p"	18	1	1	1	3	0
"hsa-mir-34a-5p"	28	1	1	1	3	0
"POU3F2"	2	0	1	1	2	7.44
"TP73"	4	0	1	1	2	3.92
"FOXM1"	3	0	1	1	2	3.69
"MYCN"	3	0	1	1	2	3.25
"ETV4"	4	0	1	1	2	3.02
"FOS"	23	1	0	1	2	2.93
"IL1B"	1	0	1	1	2	2.25
"NOS2"	5	1	0	1	2	2.2
"NR4A1"	3	0	1	1	2	2.13
"HBB"	6	1	0	1	2	2.05
"FOXO1"	3	0	1	1	2	1.84
"CYP3A4"	6	1	0	1	2	1.84
"IRF8"	2	0	1	1	2	1.76
"KCNIP3"	1	0	1	1	2	1.76
"ETS2"	5	0	1	1	2	1.68
"JUNB"	2	0	1	1	2	1.55
"FOSL1"	10	1	0	1	2	1.37
"SATB1"	1	0	1	1	2	1.32
"CEBPD"	1	0	1	1	2	1.3
"KLF6"	2	0	1	1	2	1.28
"KLF4"	2	0	1	1	2	1.27
"MAFG"	3	0	1	1	2	1.21
"KLF11"	3	0	1	1	2	1.15
"PDGFB"	1	0	1	1	2	1.11
"HIVEP1"	1	0	1	1	2	1.04
"NME2"	1	0	1	1	2	0.95
"CYBB"	5	1	0	1	2	0.95
"TCF3"	2	0	1	1	2	0.92
"ZBTB7B"	1	0	1	1	2	0.88
"TNFRSF1A"	1	0	1	1	2	0.82
"MAZ"	4	0	1	1	2	0.8
"GATA4"	2	0	1	1	2	0.76
"F12"	1	0	1	1	2	0.75
"CREM"	3	0	1	1	2	0.74
"CNBP"	1	0	1	1	2	0.73
"FOXA3"	1	0	1	1	2	0.7
"HLTF"	1	0	1	1	2	0.7
"SREBF2"	3	0	1	1	2	0.68
"NFE2L2"	4	0	1	1	2	0.66
"COL2A1"	2	0	0	1	1	10.97
"TERT"	6	1	0	0	1	9.17
"HOXD10"	1	0	1	0	1	5.57
"OTX1"	1	0	1	0	1	5.53
"CDK1"	2	0	0	1	1	3.41
"RRM2"	2	0	0	1	1	2.98
"SERPINE1"	4	0	0	1	1	1.76
"HMGA1"	5	0	0	1	1	1.65
"IGFBP1"	2	0	0	1	1	1.45
"GTF2IRD1"	1	0	1	0	1	1.3
"WEE1"	1	0	1	0	1	1.25
"COL1A2"	4	0	0	1	1	1.18
"PLAU"	8	1	0	0	1	1.1
"APOH"	6	1	0	0	1	1.09
"APOA5"	2	0	0	1	1	1.05
"ABCA1"	2	0	0	1	1	1.02
"AR"	3	0	1	0	1	1
"GATA6"	1	0	1	0	1	0.9
"HSF1"	1	0	1	0	1	0.85
"RORA"	1	0	1	0	1	0.81
"OAS1"	1	0	1	0	1	0.8
"NFKB2"	2	0	1	0	1	0.76
"HTATIP2"	2	0	0	1	1	0.68
"CCND1"	12	1	0	0	1	0.67
"ALDOC"	2	0	0	1	1	0.67
