"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"	"disease"
"E2F1"	25	1	1	1	3	3.76	1
"EGR1"	18	1	1	1	3	2.33	0
"ESR1"	9	1	1	1	3	2.19	1
"JUN"	33	1	1	1	3	1.39	1
"NR1I2"	9	1	1	1	3	1.37	0
"MYC"	18	1	1	1	3	1.07	1
"JUND"	6	1	1	1	3	0.99	0
"STAT3"	10	1	1	1	3	0.81	0
"USF1"	15	1	1	1	3	0.73	0
"NR1H4"	7	1	1	1	3	0.63	0
"ETS1"	9	1	1	1	3	0.61	0
"IRF1"	5	1	1	1	3	0.61	0
"NR1I3"	8	1	1	1	3	0.6	0
"hsa-let-7b"	47	1	1	1	3	0	1
"hsa-mir-29a"	21	1	1	1	3	0	1
"hsa-mir-26a-5p"	16	1	1	1	3	0	0
"hsa-mir-29a-3p"	18	1	1	1	3	0	0
"hsa-mir-34a-5p"	28	1	1	1	3	0	0
