"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"	"disease"
"E2F1"	25	1	1	1	3	3.76	1
"ESR1"	9	1	1	1	3	2.19	1
"JUN"	33	1	1	1	3	1.39	1
"MYC"	18	1	1	1	3	1.07	1
"hsa-let-7b"	47	1	1	1	3	0	1
"hsa-mir-29a"	21	1	1	1	3	0	1
"FOXM1"	3	0	1	1	2	3.69	1
"FOS"	23	1	0	1	2	2.93	1
"CEBPD"	1	0	1	1	2	1.3	1
"PDGFB"	1	0	1	1	2	1.11	1
"SREBF2"	3	0	1	1	2	0.68	1
"NFE2L2"	4	0	1	1	2	0.66	1
"TERT"	6	1	0	0	1	9.17	1
"RRM2"	2	0	0	1	1	2.98	1
"AR"	3	0	1	0	1	1	1
"HTATIP2"	2	0	0	1	1	0.68	1
"CCND1"	12	1	0	0	1	0.67	1
"CYP17A1"	1	0	0	0	0	5.22	1
"BIRC5"	1	0	0	0	0	4.2	1
"CCNE1"	2	0	0	0	0	3.69	1
"PTGS2"	1	0	0	0	0	2.73	1
"MT2A"	2	0	0	0	0	2.71	1
"HGF"	1	0	0	0	0	2.37	1
"GLUL"	2	0	0	0	0	2.26	1
"ACSL4"	1	0	0	0	0	2.26	1
"TFPI2"	1	0	0	0	0	1.79	1
"HSPB1"	1	0	0	0	0	1.75	1
"TYMS"	1	0	0	0	0	1.73	1
"MMP9"	1	0	0	0	0	1.57	1
"APOA1"	1	0	0	0	0	1.38	1
"ACE"	2	0	0	0	0	1.09	1
"F2"	1	0	0	0	0	0.88	1
"PTK2"	1	0	0	0	0	0.71	1
