id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
A1BG	104.6280349149	138.9006000146	70.3554698153	0.5065166731	-0.9813183355	0.0284446053	0.0901022264
A1CF	0.09975009	0.0174198332	0.1820803468	10.4524736313	3.3857724988	0.2255376912	0.4098151656
A2BP1	16.6868546816	0.7624980165	32.6112113468	42.7689130238	5.4184906363	0.1870408367	0.3613154528
A2LD1	84.0180049702	83.1835176903	84.8524922501	1.0200637651	0.0286593392	0.9650108779	0.9990831446
A2ML1	155.685968229	294.7995229149	16.5724135431	0.0562158764	-4.1528785581	4.05022813746713e-05	0.0003748713
A2M	23206.6751188634	14585.9580935045	31827.3921442222	2.1820570127	1.1256887968	0.0004563325	0.0030626271
A4GALT	349.3033420343	298.2658230525	400.3408610161	1.3422284086	0.4246301976	0.1448571483	0.3019581379
A4GNT	1.0377104461	0.4690230558	1.6063978364	3.4249869308	1.776098483	0.1203938791	0.2644446771
AAA1	0.008411842	0.0084844058	0.0083392782	0.9828947868	-0.0248911023	1	1
AAAS	633.5324754647	668.0799717858	598.9849791435	0.8965767639	-0.1575009845	0.5104929724	0.6989925829
AACSL	0.6324435489	1.1639162283	0.1009708695	0.0867509766	-3.5269761912	0.0079466258	0.0331793683
AACS	1400.8309319758	1249.7619767518	1551.8998871998	1.2417563633	0.3123821398	0.1617600124	0.3268752303
AADACL2	2.253960433	1.710263126	2.7976577401	1.6358054487	0.7100011744	0.4453448075	0.6412611103
AADACL3	1.9599962663	0.0336575042	3.8863350283	115.4671185924	6.8513382657	6.65566345637954e-07	9.30413225278161e-06
AADACL4	0.0527339635	0	0.105467927	Inf	Inf	0.0549056783	0.1493657463
AADAC	59.4964916686	5.5989372946	113.3940460426	20.2527801394	4.3400480581	2.76813455513791e-12	9.11387331562831e-11
AADAT	87.0065536241	88.0922471522	85.920860096	0.9753509857	-0.0360066204	0.9921637829	1
AAGAB	1425.536432472	1869.2561305966	981.8167343474	0.5252446245	-0.9289386029	6.28890781980967e-05	0.0005512872
AAK1	1092.4874354746	1066.8333667369	1118.1415042123	1.0480938627	0.0677679241	0.7887519479	0.8965257378
AAMP	2110.1125609617	2295.1606453509	1925.0644765724	0.83874934	-0.2536883687	0.2712492222	0.464398235
AANAT	0.0973694852	0.1176008083	0.0771381621	0.6559322442	-0.6083812983	0.7782798627	0.8899502587
AARS2	401.1420688977	424.3749959834	377.9091418119	0.8905075591	-0.1673002372	0.5607093787	0.737692117
AARSD1	486.6321737144	479.0347747326	494.2295726961	1.0317196136	0.0450509485	0.918263093	0.9727462474
AARS	2993.7094086682	3394.8312572804	2592.5875600561	0.7636867236	-0.3889471516	0.0943023497	0.2219220761
AASDHPPT	931.3385783882	1031.6724427339	831.0047140426	0.8054927898	-0.3120564199	0.177574193	0.3483617708
AASDH	375.0626226546	342.6962031642	407.4290421451	1.1888927814	0.2496186135	0.3422105698	0.541079482
AASS	482.6407095084	240.9350396745	724.3463793423	3.0063969953	1.58803553	1.36049765293942e-09	3.04082886840415e-08
AATF	1069.5345386988	1250.0355310925	889.0335463051	0.7112066211	-0.4916593397	0.0329697096	0.1007482205
AATK	48.8301162506	47.7231567053	49.9370757959	1.046390877	0.0654218677	0.9126794867	0.9701914107
ABAT	1212.8697165109	1824.8983209882	600.8411120335	0.3292463504	-1.6027606462	2.48731926437258e-10	6.16533622982694e-09
ABCA10	184.0470149572	25.443023681	342.6510062334	13.4673854228	3.751397886	3.66116260853958e-22	3.44237293919272e-20
ABCA11P	123.0343788439	114.2643846913	131.8043729965	1.1535035466	0.2060224398	0.6011772259	0.7695524943
ABCA12	486.0934541016	749.7305014673	222.4564067359	0.2967151614	-1.7528494482	0.0003893732	0.0026766157
ABCA13	46.5918014405	66.2176795252	26.9659233558	0.4072314758	-1.2960790202	0.072832938	0.1841491619
ABCA17P	8.8025478301	11.7244029315	5.8806927287	0.5015771603	-0.9954564394	0.2393456693	0.4279469057
ABCA1	1604.5119200644	944.3506766475	2264.6731634813	2.3981273265	1.2619082594	1.63876770023166e-07	2.56190087237654e-06
ABCA2	1328.8515483003	1298.2690479942	1359.4340486064	1.0471127311	0.0664167698	0.7871916094	0.8954808227
ABCA3	1722.8617811831	2283.9072562987	1161.8163060676	0.5086967971	-0.9751220844	2.7525125115591e-05	0.0002645252
ABCA4	73.2053550293	82.9857877667	63.4249222918	0.7642865604	-0.3878144334	0.4668086802	0.6605439084
ABCA5	653.9860525396	312.0355231099	995.9365819693	3.1917410301	1.6743435996	1.03668409958252e-11	3.17283739210256e-10
ABCA6	468.2858719039	144.1983438163	792.3733999914	5.4950242771	2.458125855	2.57688948882578e-19	1.70257526124885e-17
ABCA7	273.5553559508	283.0629031807	264.0478087209	0.9328237849	-0.1003235204	0.7239833781	0.8551119051
ABCA8	1249.6878934506	198.7624753703	2300.613311531	11.5746863549	3.5329011955	4.27625609730331e-43	5.22692128093505e-40
ABCA9	684.8749019249	120.1937793326	1249.5560245171	10.3961788327	3.3779814509	3.01213223299442e-37	1.68309343087634e-34
ABCB10	528.2210949316	611.9195269677	444.5226628954	0.7264397413	-0.4610849646	0.0608870637	0.161482005
ABCB11	5.3783110593	1.3803842181	9.3762379004	6.7924841339	2.7639392906	0.0037747774	0.0180673815
ABCB1	252.6936362366	104.5033935133	400.8838789598	3.8360847957	1.9396346111	1.11755916163599e-09	2.52964172732813e-08
ABCB4	27.5303416709	30.0947001338	24.965983208	0.8295807267	-0.2695457178	0.6098117147	0.7754787505
ABCB5	60.5300587543	9.3193483311	111.7407691775	11.9901912889	3.5837827703	1.50099588413435e-09	3.32822862879995e-08
ABCB6	532.936692495	550.9139082583	514.9594767316	0.9347367511	-0.0973679774	0.6685618218	0.8184097466
ABCB7	523.9995274934	496.539788523	551.4592664638	1.110604385	0.1513449973	0.560190645	0.7375554358
ABCB8	527.0674365476	679.7446099447	374.3902631505	0.5507807751	-0.8604498915	0.0005545741	0.0036225133
ABCB9	167.5605721872	223.1286091139	111.9925352605	0.5019192102	-0.9944729307	0.0072244907	0.0307752919
ABCC10	384.4541302592	417.6048004964	351.303460022	0.8412342473	-0.2494205104	0.3712730194	0.5721817526
ABCC11	1135.2399657543	1283.5140471217	986.9658843869	0.7689560442	-0.379026963	0.4536867821	0.6488301571
ABCC12	18.6821098202	27.0926775422	10.2715420982	0.3791261341	-1.3992501865	0.0558475377	0.1515064911
ABCC13	50.6330473182	100.5501376255	0.7159570108	0.0071203981	-7.1338263765	1.28118399122817e-08	2.44211650257792e-07
ABCC1	1252.0374465282	1393.6927145673	1110.3821784891	0.7967195113	-0.3278561885	0.1448364152	0.3019581379
ABCC2	56.7520952998	61.7463158504	51.7578747492	0.8382342175	-0.2545746801	0.7445290079	0.8684691523
ABCC3	507.8525755225	508.929730404	506.7754206411	0.9957669799	-0.0061199191	0.9253357951	0.9759365876
ABCC4	294.9123775688	411.0378057428	178.7869493947	0.4349647329	-1.2010296634	0.0788895447	0.1952206978
ABCC5	1217.1346983336	1658.3954687259	775.8739279413	0.4678461456	-1.0958939272	2.44125736303859e-06	3.00085922369237e-05
ABCC6P1	8.5125341274	4.0680580801	12.9570101748	3.185060272	1.6713206733	0.0494582946	0.138017404
ABCC6P2	24.610463938	22.1891083309	27.031819545	1.2182472203	0.2848069307	0.6978202173	0.8379241107
ABCC6	187.6767314071	88.8902231388	286.4632396755	3.2226630732	1.6882533637	2.47519299496583e-06	3.04066265091374e-05
ABCC8	153.5295951257	191.6249954439	115.4341948075	0.6023963343	-0.731215104	0.0552188935	0.1500716925
ABCC9	778.9914968023	303.9223869903	1254.0606066144	4.1262528208	2.0448322197	4.89963665375256e-16	2.46964417622265e-14
ABCD1	399.3225898825	437.342087626	361.303092139	0.826133826	-0.2755525911	0.239704486	0.4282752269
ABCD2	241.6971199402	27.7128807997	455.6813590807	16.4429444335	4.03939676	1.98751180024321e-22	1.93381931728141e-20
ABCD3	2114.2232389743	2574.2306701457	1654.2158078028	0.6426058966	-0.6379938758	0.0061612478	0.0270740395
ABCD4	545.1857907926	431.0022779096	659.3693036756	1.5298510877	0.6133912311	0.014479535	0.0532086182
ABCE1	1773.7113175506	1987.2032958284	1560.2193392727	0.7851332285	-0.3489906106	0.1412946969	0.2962371771
ABCF1	1634.7587066794	1846.1765541252	1423.3408592335	0.7709668157	-0.3752593305	0.0985332077	0.2290149526
ABCF2	1245.6507303904	1394.9842526487	1096.3172081322	0.7858993433	-0.3475835485	0.1267101328	0.2739460927
ABCF3	1025.305543957	1188.7114380843	861.8996498296	0.7250705446	-0.4638067281	0.0420008184	0.1217625267
ABCG1	838.9042285276	1080.1247315535	597.6837255016	0.5533469497	-0.8537437579	0.0002388247	0.001749324
ABCG2	189.5583468588	134.0361824893	245.0805112283	1.8284653194	0.8706332633	0.0086029743	0.035316618
ABCG4	2.3384497737	2.4377044847	2.2391950627	0.9185670686	-0.1225430322	0.8832937122	0.9528660527
ABCG5	1.3272691456	1.1298204404	1.5247178507	1.3495222747	0.4324487896	0.6979304909	0.8380050719
