"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"
"EGR1"	19	1	1	1	3	2.59
"ESR2"	7	1	1	1	3	2.58
"FOS"	20	1	1	1	3	2.47
"E2F1"	25	1	1	1	3	2.34
"CEBPA"	17	1	1	1	3	2.1
"ESR1"	19	1	1	1	3	1.79
"JUN"	45	1	1	1	3	1.6
"STAT5A"	7	1	1	1	3	1.6
"RUNX2"	5	1	1	1	3	1.4
"STAT1"	34	1	1	1	3	1.28
"ETS2"	6	1	1	1	3	1.15
"MITF"	8	1	1	1	3	0.94
"NR1H3"	8	1	1	1	3	0.9
"TFAP2A"	24	1	1	1	3	0.9
"IRF1"	16	1	1	1	3	0.65
"ARHGEF7"	11	1	1	1	3	0.62
"USF1"	16	1	1	1	3	0.61
"SRF"	5	1	1	1	3	0.58
"TFDP1"	10	1	1	1	3	0.58
"hsa-mir-1"	86	1	1	1	3	0
"hsa-mir-145-5p"	39	1	1	1	3	0
"hsa-mir-146a"	31	1	1	1	3	0
"hsa-mir-21"	44	1	1	1	3	0
"hsa-mir-21-5p"	32	1	1	1	3	0
"hsa-mir-34a-5p"	27	1	1	1	3	0
"EFNA2"	2	0	1	1	2	Inf
"CGA"	5	1	0	1	2	7.25
"GBX2"	1	0	1	1	2	5.7
"GATA4"	3	0	1	1	2	5.6
"WT1"	2	0	1	1	2	5.39
"LHX2"	1	0	1	1	2	4.88
"HBB"	5	1	0	1	2	4.73
"BMPR1B"	1	0	1	1	2	4.41
"POU3F2"	1	0	1	1	2	4.14
"IFNB1"	9	1	0	1	2	4.13
"RRM2"	2	0	1	1	2	3.69
"FOXM1"	1	0	1	1	2	3.54
"KIT"	6	1	0	1	2	2.79
"IL6"	7	1	0	1	2	2.76
"HOXA5"	2	0	1	1	2	2.55
"OTX1"	1	0	1	1	2	2.49
"TFF3"	1	0	1	1	2	2.35
"NR4A1"	4	0	1	1	2	2.17
"TAL1"	1	0	1	1	2	1.92
"BMP6"	1	0	1	1	2	1.87
"FOXA1"	3	0	1	1	2	1.87
"GATA3"	3	0	1	1	2	1.75
"SOX10"	1	0	1	1	2	1.66
"IRF7"	5	0	1	1	2	1.6
"NR3C1"	8	1	0	1	2	1.57
"PLAU"	8	1	0	1	2	1.49
"THRB"	3	0	1	1	2	1.33
"NR5A2"	1	0	1	1	2	1.29
"LMO2"	1	0	1	1	2	1.26
"MAZ"	4	0	1	1	2	1.24
"STAT5B"	4	0	1	1	2	1.24
"SATB1"	1	0	1	1	2	1.16
"FLI1"	5	0	1	1	2	1.14
"JUNB"	2	0	1	1	2	1.12
"KLF8"	1	0	1	1	2	1.11
"SERPINE1"	7	1	0	1	2	1.11
"RARB"	6	1	1	0	2	1.1
"ETV5"	4	0	1	1	2	1.09
"TRERF1"	1	0	1	1	2	1.08
"MYC"	21	1	0	1	2	1.07
"THRA"	2	0	1	1	2	1.07
"HEY2"	1	0	1	1	2	1.06
"NFATC2"	3	0	1	1	2	1.06
"TNFSF12"	3	0	1	1	2	1.05
"IRF9"	1	0	1	1	2	1.03
"MECOM"	1	0	1	1	2	1.03
"FOXO4"	1	0	1	1	2	1.02
"SREBF1"	7	1	0	1	2	1.02
"MEIS1"	1	0	1	1	2	1.01
"TCF7L2"	3	0	1	1	2	1.01
"KLF11"	4	0	1	1	2	1
"NR2F6"	2	0	1	1	2	1
"CEBPD"	4	0	1	1	2	0.97
