"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"	"disease"
"EGR1"	19	1	1	1	3	2.59	0
"ESR2"	7	1	1	1	3	2.58	1
"FOS"	20	1	1	1	3	2.47	1
"E2F1"	25	1	1	1	3	2.34	1
"CEBPA"	17	1	1	1	3	2.1	0
"ESR1"	19	1	1	1	3	1.79	1
"JUN"	45	1	1	1	3	1.6	1
"STAT5A"	7	1	1	1	3	1.6	1
"RUNX2"	5	1	1	1	3	1.4	0
"STAT1"	34	1	1	1	3	1.28	0
"ETS2"	6	1	1	1	3	1.15	1
"MITF"	8	1	1	1	3	0.94	0
"TFAP2A"	24	1	1	1	3	0.9	1
"NR1H3"	8	1	1	1	3	0.9	0
"IRF1"	16	1	1	1	3	0.65	0
"ARHGEF7"	11	1	1	1	3	0.62	0
"USF1"	16	1	1	1	3	0.61	0
"SRF"	5	1	1	1	3	0.58	0
"TFDP1"	10	1	1	1	3	0.58	0
"hsa-mir-146a"	31	1	1	1	3	0	1
"hsa-mir-21"	44	1	1	1	3	0	1
"hsa-mir-1"	86	1	1	1	3	0	0
"hsa-mir-145-5p"	39	1	1	1	3	0	0
"hsa-mir-21-5p"	32	1	1	1	3	0	0
"hsa-mir-34a-5p"	27	1	1	1	3	0	0
